monthly_income,family_size,earning_members,housing_type,land_area,employment_type,vehicle_owned,tax_paid,region_type,label
0,1,0,other,2.0,unemployed,0,0,urban,PHH
0,4,0,dilapidated,3.0,homemaker,0,0,urban,PHH
0,5,0,dilapidated,3.0,unemployed,0,0,urban,PHH
0,3,0,other,6.5,homemaker,0,0,urban,PHH
0,2,0,other,2.5,unemployed,0,0,urban,PHH
0,1,0,other,3.0,unemployed,0,0,urban,PHH
0,5,0,other,2.5,unemployed,0,0,urban,PHH
0,3,0,other,4.0,unemployed,0,0,urban,PHH
0,7,0,dilapidated,2.5,homemaker,0,0,urban,PHH
0,3,0,other,4.25,homemaker,0,0,urban,PHH
0,2,0,dilapidated,5.0,homemaker,0,0,urban,PHH
0,1,0,other,3.0,homemaker,0,0,urban,PHH
0,2,0,other,3.0,homemaker,0,0,urban,PHH
0,3,0,other,3.0,homemaker,0,0,urban,PHH
0,3,0,other,4.0,homemaker,0,0,urban,PHH
0,3,0,other,13.0,unemployed,0,0,urban,PHH
0,2,0,other,3.0,unemployed,0,0,urban,PHH
0,3,0,other,3.4,unemployed,0,0,urban,PHH
0,6,0,dilapidated,2.0,homemaker,0,0,urban,PHH
0,1,0,other,15.0,unemployed,0,0,urban,PHH
0,2,0,other,8.75,daily_wage,0,0,urban,PHH
0,2,0,other,68.5,unemployed,0,0,urban,PHH
0,1,0,other,2.0,daily_wage,0,0,urban,PHH
0,1,0,dilapidated,3.5,daily_wage,0,0,urban,PHH
0,1,0,other,5.0,homemaker,0,0,rural,PHH
0,3,0,dilapidated,2.0,unemployed,0,0,urban,PHH
0,2,0,dilapidated,8.0,homemaker,0,0,urban,PHH
0,3,0,hut,22.0,homemaker,0,0,urban,PHH
0,6,0,dilapidated,4.0,unemployed,0,0,urban,PHH
0,4,0,other,4.5,unemployed,0,0,urban,PHH
0,5,0,dilapidated,1.5,homemaker,0,0,urban,PHH
0,2,0,hut,6.5,unemployed,0,0,urban,PHH
0,1,0,other,10.0,homemaker,0,0,urban,PHH
